nome,sku,quantidade,total,porcentagem_das_vendas
"Produto GRÁTIS SURPRESA",3JCD48NXJ,199,0,0
"Óleo de limpeza facial ANUA Heartleaf Pore Control Cleansing Oil 200ml",3KXS82PFK,57,13469.84,2.04
"Sérum facial com PDRN Medicube Pink Peptide Serum 30ml",NLV5N28RJ,50,16572.5,2.51
"Kit com 4 clipes de cabelo",NHYN9WYW4,39,0,0
"Creme p/ olhos com retinol Beauty of Joseon Revive Eye Serum Ginseng + Retinal 30ml",YRGGCCZV4,38,7005.79,1.06
"Sérum facial COSRX Advanced Snail 96 Mucin Power Essence 100ml",P98CUPDN7,38,7541.51,1.14
"Tônico facial Medicube Deep Vita C Toner Pads",YCAFY5PDC,35,7324.66,1.11
"Hidratante Cosrx Advanced Snail 92 All In One Cream 100ml",NATQVCF5U,34,6963.28,1.05
"Creme facial hidratante com Vitamina C Medicube Deep Vita C Capsule Cream Vitamin Golden Boba 55g",PXJL6QVSC,32,11786,1.78
"Sérum facial VT Cosmetics Reedle Shot 100 300 700 Essence 50ml 100 microagulhas",86NNKQTS9,31,8483.42,1.28
"Sérum facial Numbuzin Nº 5+ Glutathione Vitamin Concentrated Serum 30ml",KVVWTPH6S,31,7531.5,1.14
"Máscara facial de Colágeno Biodance Bio-Collagen Real Deep Sheet Mask Hydrating Overnight 4 unidades",DRB5K3JVM,29,5937.22,0.9
"Tônico facial MEDICUBE Zero Pore Pad 2.0 Toner Pad",JPXLRJGCN,28,8386.68,1.27
"Sérum Beauty of Joseon Glow Deep Serum Rice + Alpha-Arbutin 30ml",FB8ZGB6ZV,27,4980.25,0.75
"Máscara facial de colágeno Medicube Collagen Night Wrapping Mask 75ml",D5585GUJ4,27,9122.27,1.38
"Massageador facial Gua sha de jade natural",6ESFXKEA6,26,0,0
"Protetor solar Beauty of Joseon Relief Sun Rice Probiotics SPF50+ PA++",RKVH5XSYP,25,4823.54,0.73
"Máscara para olhos de colágeno Abib Collagen Eye Patch Jericho Rose Jelly",SLZH25857,24,5251.95,0.79
"Protetor solar em bastão Beauty of Joseon Matte Sun Stick Mugwort+Camelia SPF 50+ PA++++ 18g",EXZTPZFG2,24,4680,0.71
"Protetor solar Round Lab Birch Juice Moisturizing Sun Cream SPF50+ PA++++ 50ml",MYG76GE5X,23,4239.9,0.64
"Creme p/ Melasma Melanon X Cream Medi-Peel 30ml",NBC6G9BGY,22,3542.91,0.54
"Sérum facial com microagulhas Medicube Zero Exosome Shot 2000ppm e 7500ppm 30ml 2000ppm",65YSDXPJS,22,6078,0.92
"Tônico facial Numbuzin 5+ Vitamin Boosting Glutathione Essential Toner 200ml",HBJVNM35P,22,4415.69,0.67
"Óleo de limpeza facial SKIN1004 Madagascar Centella Light Cleansing Oil 200ml",DJRUYMC2K,22,5099.34,0.77
"Máscara capilar Shiseido Fino Premium Touch Penetration Essence Hair Mask 230g",XJSEGUGH9,21,4775.68,0.72
"Protetor solar em bastão Abib Airy Sunstick Smoothing Bar SPF50+ PA++++",GFJHHN89L,20,4528.93,0.69
"Tônico facial com PDRN de salmão Medicube PDRN Pink Cica Soothing Toner 250ml",GGQ2SHPQ3,20,6804.36,1.03
"Creme p/ olhos Some By Mi Retinol Intense Advanced Triple Action Eye Cream 30ml",JW2G2HXGL,20,4087.98,0.62
"Creme p/ olhos COSRX Advanced Snail Peptide Eye Cream 25ml",W4AFDREZF,19,4532.37,0.69
"Sérum facial Numbuzin Nº 3 Skin Softening 50ml",DHEFFLZEX,19,4363.42,0.66
"Máscara facial c/ PDRN e colágeno Medicube Pink PDRN Collagen Gel Mask 30g 3 unidades",M2QQ8GGS3,19,5322,0.81
"Sérum facial VT Cosmetics PDRN 100 Essence 30ml",TU5276RRB,18,6354.3,0.96
"Máscara facial c/ PDRN e colágeno Medicube Pink PDRN Collagen Gel Mask 30g 1 unidade",3Z6PAYU2Y,18,1800,0.27
"Tônico The Ordinary Ácido Glicólico Glycolic Acid 7% Toning Solution 240ml",NPBYGL48F,18,4176.4,0.63
"Máscara facial de Colágeno Biodance Bio-Collagen Real Deep Sheet Mask Hydrating Overnight 1 unidade",N9ZDQY8FD,18,1440.2,0.22
"Máscara Labial noturna Lip Sleeping Mask Berry 20g",WNCNBG3QA,18,2554.8,0.39
"Sérum Beauty of Joseon Revive Ginseng + Snail Mucin",577D36WQP,18,3209.58,0.49
"Tônico facial de arroz Beauty of Joseon Glow Replenishing Rice Milk 150ml",DZKW7W278,18,4075.98,0.62
"Sérum facial com centela asiática Ampola Facial SKIN1004 Madagascar Centella Ampoule 100ml",RUSQDMH9Y,18,5024.44,0.76
"Máscara facial Beauty of Joseon Red Bean Refreshing Pore Mask 140ml",9X5HP5SYQ,17,4465.02,0.68
"Tônico facial Anua Heartleaf 77% Soothing Toner 250ml",WH22QEXV5,17,3757.5,0.57
"Pó facial Laneige Neo Essential Blurring Finish Powder 7g",BJUJP2WY2,17,4076.88,0.62
"Sérum Facial com Vitamina C Melano CC Essence",6CXTRDU6Q,17,1675.9,0.25
"Sérum facial em ampola com peptídeos e PDRN Medicube PDRN Pink One Day Serum 1,5mlx10un",UNPMQTE37,17,3761.16,0.57
"Máscara labial e facial noturna Laneige Lip Sleeping Mask Berry 3g",CVUBCWGAL,17,900.4,0.14
"Sérum facial com microagulhas Medicube Zero Exosome Shot 2000ppm e 7500ppm 30ml 7500ppm",3RGUPN6JQ,17,6415.92,0.97
"Espuma de limpeza facial Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml",QZXVY26ML,16,3360,0.51
"Creme hidratante facial Beauty of Joseon Dynasty Cream 50ml",SF9WBEF2N,16,3676.57,0.56
"Tônico facial Numbuzin Nº 5+ Vitamin Niacinamide Concentrated Toner Pad 180ml",K47RBVLZ4,16,4368.76,0.66
"Ampola Facial SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml 100ml",7GTRPHN6R,16,4267.6,0.65
"Sérum facial Missha Time Revolution Night Repair Ampoule 5X 70ml",GXDDABERX,16,3970.33,0.6
"Sérum facial de soja fermentada Mixsoon Bean Essence 50ml",T2XUA3RPV,15,4145,0.63
"Tratamento capilar de colágeno Elizavecca Cer-100 Collagen Coating Hair Protein Treatment 50ml",UN3ERDYED,15,1667.5,0.25
"Sérum facial COSRX The 6 Peptide Skin Booster Serum 150ml",EKMJNPCWX,15,4179.75,0.63
"Creme hidratante facial Dr.G Red Blemish Clear Soothing Cream 70ml",PGGJNDJW6,14,2741.48,0.41
"Creme p/ área dos olhos SKIN1004 Madagascar Centella Probio-Cica Bakuchiol Eye Cream 20ml",2S5LERB8W,14,2880.82,0.44
"Tônico facial I'm From Rice Toner 150ml",YNCQLM6PW,14,3415.63,0.52
"Sérum facial p/ manchas ANUA Niacinamide 10% + Txa 4% Dark Spot Correcting Serum",8W6MER7VG,14,3599.3,0.54
"Espuma de limpeza facial p/ poros Medicube Zero Foam Cleanser 120g",DE3B67D4D,14,2570.71,0.39
"Creme hidratante facial para poros Medicube Zero Pore One Day Cream 30ml",KWAF7V3CG,14,5197.03,0.79
"Creme facial hidratante com ácido hialurônico e PDRN Medicube PDRN Pink Hyaluronic Moisturizing Cream 50ml",XGQRCVZ2C,14,4711.86,0.71
"Máscara facial de arroz Beauty of Joseon Ground Rice and Honey Glow Mask 150ml",LXYG774M9,14,3465.42,0.52
"Máscara facial SKIN1004 Madagascar Centella Poremizing Quick Clay Stick 27g",A3FXNCDTC,14,3345.08,0.51
"Sérum facial com centela asiática Ampola Facial SKIN1004 Madagascar Centella Ampoule 55ml",RSXQUK8QZ,13,2583.04,0.39
"Sérum facial Medicube AGE-R Glutathione Glow Ampole Serum 50ml",2QTHRUAVC,13,3643,0.55
"Sérum facial VT Cosmetics Reedle Shot 100 Essence Ampola 6ml 7 ampolas",DVUYCQFFV,13,1824.08,0.28
"Creme hidratante facial SKIN1004 Madagascar Centella Poremizing Light Gel Cream 75ml",ZRJAPUUEC,13,2816,0.43
"Creme facial hidratante anti-idade Sulwhasoo Concentrated Ginseng Renewing Cream Classic 10ml",6ASZPW5U4,13,2282.4,0.35
"Sérum Beauty of Joseon Glow Propolis + Niacinamida",P2NMRWDCC,13,2442.2,0.37
"Espuma de limpeza facial Round Lab 1025 Dokdo Cleanser 150g",8V72K376Z,13,2338.43,0.35
"Sérum facial VT Cosmetics Reedle Shot 100 300 700 Essence 50ml 300 microagulhas",GJMY8SXDD,12,3732,0.56
"Ampola Facial SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml 100ml",K2HVHHUWK,12,3174.3,0.48
"Sérum facial para poros Medicube Zero Pore One Day Serum 30ml",EEF2Y45F4,12,4236.2,0.64
"Creme hidratante para pescoço com colágeno e retinol CKD Retino Collagen Molecule 300 Guasha Neck Cream 50ml Creme c/ guasha",MCYDLTJZF,12,2543.98,0.38
"Tônico facial Numbuzin Nº3 Radiance Glowing Jumbo Essence Toner Pad",F23EALBGP,11,3024.67,0.46
"Sérum facial Some by Mi Retinol Intense Reactivating 30ml",GASHXD556,11,2859.1,0.43
"Base Cushion TIRTIR Mask Fit Red Cushion 18g e Mini 4.5g 18g 23N (Areia)",G2R9GR3BN,11,3926.34,0.59
"Frasco pump de coração p/ sabonete facial",7FYNWY6N7,11,0,0
"Máscara facial Collagen Niacinamide Jelly Cream 110ml",ZRXLVTES2,11,3847.93,0.58
"Tônico facial Beauty of Joseon Ginseng Essence Water 150ml",CM65FBPHF,11,2419.1,0.37
"Creme hidratante antienvelhecimento Medi-Peel Peptide 9 Volume & Tension Tox Cream Pro 50g",JBNL593UX,10,2106.8,0.32
"Sérum facial Manyo Bifida Biome Complex Ampoule 50ml",9TMYD238A,10,2163.6,0.33
"Fixador de maquiagem TIRTIR Mask Fit Make Up Fixer 80ml",VGRB47NEG,10,1832,0.28
"Sérum facial The Ordinary AHA 30% + BHA 2% Peeling Solution 30ml",WEYEP3FB4,10,1666.32,0.25
"Protetor solar líquido Beauty of Joseon Relief Sun Aqua Fresh SPF50+ PA++ 50ml",Q9ZQSU7X4,10,2398,0.36
"Sérum facial VT Cosmetics Reedle Shot 100 300 700 Essence 50ml 700 microagulhas",V48JHU8L4,10,4577.09,0.69
"Gel de limpeza facial Some by Mi Bye Bye Blackhead 30 Days Miracle Green Tea Bubble Cleanser 120ml",ASRS7UWVE,10,1998,0.3
"Máscara facial Etude House 0.2 Therapy Air Sheet Mask 20g Aloe",LN2TTZ3V4,10,62.99,0.01
"Creme facial SKIN1004 Madagascar Centella Probio-Cica Enrich Cream 50ml",EDHHKF5ZV,10,2759.82,0.42
"Loção hidratante facial Anua Heartleaft 70% Daily Lotion 200ml",ZMMLLYNWA,10,2049.38,0.31
"Sérum p/ olhos redutor de olheiras AXIS-Y Vegan Collagen Eye Serum 10ml",2NZACRY22,10,2723.09,0.41
